Designator,Mid X,Mid Y,Rotation,Layer
D1,30.95625,-24.050625,90.0,bottom
D10,88.10625,-43.100625,90.0,bottom
D11,107.15625,-43.100625,90.0,bottom
D12,126.20625,-43.100625,90.0,bottom
D13,30.95625,-61.9125,90.0,bottom
D14,50.00625,-62.150625,90.0,bottom
D15,69.05625,-62.150625,90.0,bottom
D16,88.10625,-62.150625,90.0,bottom
D17,107.15625,-62.150625,90.0,bottom
D18,126.20625,-62.150625,90.0,bottom
D19,30.95625,-81.200625,90.0,bottom
D2,50.00625,-24.050625,90.0,bottom
D20,50.00625,-81.200625,90.0,bottom
D21,69.05625,-81.200625,90.0,bottom
D22,88.10625,-81.200625,90.0,bottom
D23,107.15625,-81.200625,90.0,bottom
D24,126.20625,-81.200625,90.0,bottom
D25,30.95625,-100.250625,90.0,bottom
D26,50.00625,-100.250625,90.0,bottom
D27,69.05625,-100.250625,90.0,bottom
D28,88.10625,-100.250625,90.0,bottom
D29,107.15625,-100.250625,90.0,bottom
D3,69.05625,-24.050625,90.0,bottom
D30,126.20625,-100.0125,90.0,bottom
D4,88.10625,-24.050625,90.0,bottom
D5,107.15625,-24.050625,90.0,bottom
D6,126.20625,-24.050625,90.0,bottom
D7,30.95625,-43.100625,90.0,bottom
D8,50.00625,-43.100625,90.0,bottom
D9,69.05625,-43.100625,90.0,bottom
J1,133.31825,-39.84625,0.0,top
J2,148.55825,-41.11625,0.0,top
S1,21.43125,-21.43125,0.0,top
S10,78.58125,-40.48125,0.0,top
S11,97.63125,-40.48125,0.0,top
S12,116.68125,-40.48125,0.0,top
S13,21.43125,-59.53125,0.0,top
S14,40.48125,-59.53125,0.0,top
S15,59.53125,-59.53125,0.0,top
S16,78.58125,-59.53125,0.0,top
S17,97.63125,-59.55125,0.0,top
S18,116.68125,-59.53125,0.0,top
S19,21.43125,-78.58125,0.0,top
S2,40.48125,-21.43125,0.0,top
S20,40.48125,-78.58125,0.0,top
S21,59.53125,-78.58125,0.0,top
S22,78.58125,-78.58125,0.0,top
S23,97.63125,-78.58125,0.0,top
S24,116.68125,-78.58125,0.0,top
S25,21.43125,-97.63125,0.0,top
S26,40.48125,-97.63125,0.0,top
S27,59.53125,-97.63125,0.0,top
S28,78.58125,-97.63125,0.0,top
S29,97.63125,-97.63125,0.0,top
S3,59.53125,-21.43125,0.0,top
S30,116.68125,-97.63125,0.0,top
S4,78.58125,-21.43125,0.0,top
S5,97.63125,-21.43125,0.0,top
S6,116.68125,-21.43125,0.0,top
S7,21.43125,-40.48125,0.0,top
S8,40.48125,-40.48125,0.0,top
S9,59.53125,-40.48125,0.0,top
